Field (T),Resistance (ohm)
12.8504,24.7361
13.7114,24.7461
-10.1576,25.3480
13.9887,24.5612
5.6333,25.0166
-0.9999,26.1488
-3.8575,25.3639
12.1863,24.9001
-8.2480,25.3603
9.1270,24.6440
-4.6102,25.3707
0.7134,26.1894
11.0558,24.9264
-5.0811,25.2730
-6.8310,25.0088
-7.0832,25.0630
2.5540,25.9934
-0.9137,26.1893
-4.7914,25.2985
-0.1207,26.1592
11.6493,25.0059
7.6965,24.8007
-5.1210,25.2899
3.3811,25.6959
12.6695,24.9055
0.5173,26.2539
-6.4861,25.0387
7.7745,24.8935
5.0953,25.1105
-10.6174,25.2684
