Field (T),Resistance (ohm)
-2.2474,21.6765
5.1363,21.0543
-11.4038,21.2598
4.4883,21.0539
13.0885,21.3529
12.2034,21.2963
3.9504,21.0632
3.3828,21.0743
0.8325,21.8693
-2.6234,21.5734
11.5713,21.2670
12.4252,21.3158
-13.6010,21.3779
-3.1576,21.2645
-3.1264,21.3078
3.9030,21.0671
10.8757,21.2325
1.9180,21.7421
3.6977,21.0686
11.9670,21.3076
8.2207,21.1450
-8.8624,21.1455
7.5871,21.1142
3.4934,21.0766
-13.4758,21.3422
-3.4234,21.0739
-6.7990,21.0817
-10.3758,21.2174
-7.8970,21.1180
12.7244,21.3314
