Field (T),Resistance (ohm)
-5.0563,21.3185
13.3908,21.7193
0.1415,22.0036
-8.3938,21.4068
10.9080,21.5468
-7.2060,21.3518
4.6628,21.3315
-11.9164,21.6289
-2.1842,21.9444
-3.8479,21.7189
-0.7866,21.9904
12.3931,21.6597
-12.9612,21.7075
4.3782,21.4954
-8.6443,21.4259
3.9047,21.6977
-1.7905,21.9565
-1.8384,21.9544
8.9165,21.4279
7.2408,21.3440
-4.0355,21.6710
4.1723,21.6166
-2.4818,21.9142
-4.5855,21.3389
6.3072,21.3233
-11.2149,21.5863
-3.6594,21.7729
-4.9613,21.3227
-9.3766,21.4540
-7.5349,21.3576
