Field (T),Resistance (ohm)
3.1784,25.1893
12.2830,24.1773
-1.7604,25.3577
-13.7857,24.7322
2.6110,25.2838
4.9304,24.4331
-9.9301,24.9294
-1.4066,25.4334
5.7216,24.3996
1.4236,25.4296
1.2813,25.4216
10.9464,24.5821
-10.8956,24.8621
5.2713,24.4655
-5.4955,24.6535
0.4004,25.5982
-1.5551,25.5345
-0.2209,25.5931
-8.0214,24.7031
-9.3998,24.9463
3.9269,24.9250
-11.1375,24.8800
-10.7411,24.8285
-12.5404,24.9842
10.9231,24.4110
-7.7169,24.6953
-13.8728,24.9482
-0.7709,25.5057
-1.9249,25.4593
0.4243,25.5277
