Field (T),Resistance (ohm)
-11.0763,21.4699
1.4147,22.2325
-5.5274,21.4566
-6.0136,21.4425
-5.4652,21.4506
-9.5806,21.4254
6.5273,21.4317
-6.4853,21.4196
-8.9884,21.4248
-0.0641,22.3278
3.1461,21.6258
4.9618,21.4777
-11.1699,21.4606
-6.8925,21.4223
3.3201,21.6023
13.6727,21.5752
-9.9697,21.4399
12.0447,21.5005
-10.9978,21.4662
-10.2196,21.4544
12.0616,21.5078
0.1717,22.3350
-8.8632,21.4169
7.6981,21.4185
6.0851,21.4363
-3.9901,21.5437
-0.1896,22.3284
-8.7379,21.4308
3.9663,21.5374
-9.0812,21.4322
