Field (T),Resistance (ohm)
-4.6334,21.0810
11.5706,21.4667
1.5879,21.7667
-8.2400,21.2128
-10.4064,21.3487
11.8392,21.4910
0.4543,21.8128
13.8628,21.6312
3.8556,21.4667
10.0999,21.3473
12.2187,21.5073
-12.4792,21.5414
-10.7179,21.3839
10.3371,21.3722
13.6731,21.6295
-5.6072,21.0924
9.2460,21.2943
12.3144,21.5106
9.4833,21.3031
6.1632,21.0968
-4.1305,21.3235
-6.6584,21.1301
-12.8533,21.5662
-10.0474,21.3257
-4.4450,21.0835
1.7286,21.7599
-3.2203,21.6004
3.8870,21.4460
-8.0997,21.2098
-7.0974,21.1540
